PW Estimate (mW),Description
4230.0640243902435,tick_sched_timer
980.6319939024394,[3] net_rx(softirq)
526.4176829268292,[PID 3882] containerd --config /var/run/docker/containerd/containerd.toml 
171.7254573170731,[PID 17] [rcu_preempt]
89.0858841463415,hrtimer_wakeup
85.4985670731706,[PID 3793] /usr/bin/dockerd 
72.28831707317076,[PID 3897] containerd --config /var/run/docker/containerd/containerd.toml 
61.27926829268293,[PID 6622] ffmpeg -re -ss 2972 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.939939024390235,[PID 6542] ffmpeg -re -ss 2862 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.90060975609756,[PID 6592] ffmpeg -re -ss 893 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.67957317073171,[PID 6586] ffmpeg -re -ss 990 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.61798780487805,[PID 6550] ffmpeg -re -ss 1550 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.57012195121951,[PID 6562] ffmpeg -re -ss 99 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.525304878048786,[PID 6616] ffmpeg -re -ss 924 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.523170731707324,[PID 6610] ffmpeg -re -ss 2989 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.49298780487804,[PID 6634] ffmpeg -re -ss 88 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.33871951219511,[PID 6602] ffmpeg -re -ss 2953 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.32164634146341,[PID 6628] ffmpeg -re -ss 1952 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.318597560975604,[PID 6556] ffmpeg -re -ss 2770 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.274085365853665,[PID 6520] ffmpeg -re -ss 758 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.21951219512194,[PID 6580] ffmpeg -re -ss 2899 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.036890243902434,[PID 6574] ffmpeg -re -ss 504 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
59.74237804878048,[PID 6546] ffmpeg -re -ss 119 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
59.63262195121952,[PID 6544] ffmpeg -re -ss 348 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
59.43506097560976,[PID 6572] ffmpeg -re -ss 563 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
59.41371951219512,[PID 6548] ffmpeg -re -ss 2838 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
59.03708231707318,[PID 3885] containerd --config /var/run/docker/containerd/containerd.toml 
58.677743902439026,[PID 6604] ffmpeg -re -ss 1388 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
58.36759146341464,[PID 3887] containerd --config /var/run/docker/containerd/containerd.toml 
55.897420731707314,[PID 4103] containerd --config /var/run/docker/containerd/containerd.toml 
51.97975609756099,[PID 3896] containerd --config /var/run/docker/containerd/containerd.toml 
44.27088414634146,[PID 3892] containerd --config /var/run/docker/containerd/containerd.toml 
43.3181981707317,[PID 3888] containerd --config /var/run/docker/containerd/containerd.toml 
39.55442073170731,[PID 4104] containerd --config /var/run/docker/containerd/containerd.toml 
37.962804878048914,toggle_allocation_gate
37.57558841463414,[PID 4101] containerd --config /var/run/docker/containerd/containerd.toml 
23.68709756097561,[PID 3895] containerd --config /var/run/docker/containerd/containerd.toml 
21.203143292682928,[PID 3891] containerd --config /var/run/docker/containerd/containerd.toml 
19.207926829268324,fb_flashcursor
16.385737804878055,[PID 5739] containerd --config /var/run/docker/containerd/containerd.toml 
14.854420731707325,watchdog_timer_fn
14.07067073170732,[PID 4181] powertop --csv --iteration=328 --time=10 
13.843292682926839,[PID 6528] ffmpeg -re -ss 348 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.556707317073172,[PID 6539] ffmpeg -re -ss 119 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.298475609756101,[PID 6600] ffmpeg -re -ss 1388 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.004268292682928,[PID 6578] ffmpeg -re -ss 2899 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.919817073170734,[PID 6570] ffmpeg -re -ss 504 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.71951219512195,[PID 6560] ffmpeg -re -ss 99 -i /videos/chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
