PW Estimate (mW),Description
4351.568597560977,tick_sched_timer
1022.9011402439027,[3] net_rx(softirq)
173.5438414634148,[PID 18] [rcu_preempt]
63.2984756097561,[PID 5014] ffmpeg -re -ss 2489 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
63.234756097560975,[PID 4996] ffmpeg -re -ss 216 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
63.149390243902445,[PID 5062] ffmpeg -re -ss 327 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
63.1280487804878,[PID 5008] ffmpeg -re -ss 331 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
63.009146341463406,[PID 5020] ffmpeg -re -ss 1312 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
62.58536585365854,[PID 4998] ffmpeg -re -ss 113 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
62.35670731707317,[PID 5076] ffmpeg -re -ss 1599 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
62.222560975609746,[PID 5056] ffmpeg -re -ss 280 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
62.12195121951219,[PID 5096] ffmpeg -re -ss 586 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
62.100609756097555,[PID 5000] ffmpeg -re -ss 2645 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
62.03231707317073,[PID 5098] ffmpeg -re -ss 2336 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
61.93079268292683,[PID 5054] ffmpeg -re -ss 2292 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
61.908536585365844,[PID 5006] ffmpeg -re -ss 1924 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
61.90548780487804,[PID 5038] ffmpeg -re -ss 2019 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
61.6280487804878,[PID 5080] ffmpeg -re -ss 2457 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
61.30182926829268,[PID 5030] ffmpeg -re -ss 1205 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.981707317073166,[PID 5044] ffmpeg -re -ss 536 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.35060975609756,[PID 5086] ffmpeg -re -ss 2803 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
60.042682926829265,[PID 5032] ffmpeg -re -ss 1710 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
59.36585365853659,[PID 5078] ffmpeg -re -ss 2600 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
38.02774390243913,toggle_allocation_gate
19.259756097561,fb_flashcursor
16.125579268292693,[PID 3837] powertop --csv --iteration=328 --time=10 
15.838719512195116,[PID 5042] ffmpeg -re -ss 536 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
15.647256097560959,watchdog_timer_fn
14.48871951219513,[PID 5070] ffmpeg -re -ss 2600 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
14.096646341463412,[PID 5084] ffmpeg -re -ss 2803 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.732621951219516,[PID 5024] ffmpeg -re -ss 1205 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.637804878048781,[PID 5052] ffmpeg -re -ss 280 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.576554878048784,hrtimer_wakeup
13.323475609756102,[PID 4990] ffmpeg -re -ss 2645 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.132317073170732,[PID 4982] ffmpeg -re -ss 113 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
13.070121951219502,[PID 5048] ffmpeg -re -ss 2292 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.979878048780488,[PID 5090] ffmpeg -re -ss 586 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.882012195121957,[PID 5036] ffmpeg -re -ss 2019 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.723475609756095,[PID 5066] ffmpeg -re -ss 1599 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.613109756097558,[PID 5094] ffmpeg -re -ss 2336 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.50609756097561,[PID 4986] ffmpeg -re -ss 216 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.429268292682929,[PID 4994] ffmpeg -re -ss 1924 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
12.144664634146343,[PID 5028] ffmpeg -re -ss 1710 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
11.98567073170732,[PID 5060] ffmpeg -re -ss 327 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
11.786585365853664,[PID 5018] ffmpeg -re -ss 1312 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
11.737804878048783,[PID 5074] ffmpeg -re -ss 2457 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
11.735060975609759,[PID 5004] ffmpeg -re -ss 331 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
11.438109756097562,[PID 5012] ffmpeg -re -ss 2489 -i chosen.mp4 -t 1800 -c copy -f mpegts pipe:1 
10.04253048780484,handle_update
9.853814024390251,[7] sched(softirq)
7.679176829268324,[PID 119] [kcompactd0]
4.34734756097562,bnx2x_sp_task
4.341371951219514,bnx2x_period_task
3.867743902439039,pci_pme_list_scan
3.3467926829268295,[66] eth1
3.192890243902435,[60] eth0
2.6977439024390244,"[PID 5001] socat TCP-LISTEN:8088,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 331 1800 "
2.6933231707317074,"[PID 5049] socat TCP-LISTEN:8098,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 280 1800 "
2.672399390243903,[9] RCU(softirq)
2.6564329268292686,"[PID 4979] socat TCP-LISTEN:8091,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 113 1800 "
2.655975609756096,"[PID 5057] socat TCP-LISTEN:8096,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 327 1800 "
2.6246951219512193,"[PID 5039] socat TCP-LISTEN:8093,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 536 1800 "
2.616463414634146,"[PID 4983] socat TCP-LISTEN:8089,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 216 1800 "
2.5867378048780485,"[PID 5025] socat TCP-LISTEN:8097,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1710 1800 "
2.563780487804877,"[PID 5063] socat TCP-LISTEN:8092,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1599 1800 "
2.5545426829268285,"[PID 5015] socat TCP-LISTEN:8087,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1312 1800 "
2.5137804878048793,"[PID 5087] socat TCP-LISTEN:8099,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 586 1800 "
2.5060365853658535,"[PID 5021] socat TCP-LISTEN:8080,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1205 1800 "
2.4831707317073177,"[PID 4987] socat TCP-LISTEN:8082,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2645 1800 "
2.4639939024390243,"[PID 5071] socat TCP-LISTEN:8095,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2457 1800 "
2.46375,"[PID 5067] socat TCP-LISTEN:8090,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 2600 1800 "
2.449481707317073,"[PID 4991] socat TCP-LISTEN:8083,reuseaddr,fork SYSTEM:sh  /home/videoserver/native/stream.sh chosen.mp4 1924 1800 "
